PLAYER,TEAM,POSITION,AGE,MP,FG,FGA,FGperc,3P,3PA,3Pperc,2P,2PA,2Pperc,FT,FTA,FTperc,ORB,AST,POINTS,SALARYMILL,FAVORITES
Thabo Sefolosha,ATL,SF,32,25.7,2.8,6.4,0.44,0.7,1.9,0.34,2.1,4.4,0.48,0.9,1.2,0.73,0.9,1.7,7.2,3.85,28.5
Meyers Leonard,POR,PF,24,16.5,2,5.1,0.39,1,2.9,0.35,1,2.2,0.44,0.5,0.5,0.88,0.4,1,5.4,9.21,149
Tiago Splitter,PHI,C,32,9.5,1.8,3.9,0.45,0.3,0.8,0.33,1.5,3.1,0.48,1.1,1.4,0.82,1,0.5,4.9,8.55,8
Ben McLemore,SAC,SG,23,19.3,3,6.9,0.43,1.1,2.8,0.38,1.9,4.1,0.46,1.1,1.5,0.75,0.3,0.8,8.1,4.01,30
Greg Monroe,MIL,C,26,22.5,4.8,9,0.53,0,0,0,4.8,8.9,0.54,2.2,3,0.74,2.1,2.3,11.7,17.15,9
Alex Len,PHX,C,23,20.3,3,6,0.5,0,0.2,0.25,2.9,5.9,0.5,1.9,2.7,0.72,2,0.6,8,4.82,10.5
Thaddeus Young,IND,PF,28,30.2,4.9,9.3,0.53,0.6,1.6,0.38,4.3,7.7,0.56,0.6,1.2,0.52,1.8,1.6,11,14.15,0
Randy Foye,BKN,SG,33,18.6,1.7,4.7,0.36,1,2.9,0.33,0.7,1.8,0.42,0.8,0.9,0.86,0.1,2,5.2,2.5,2
Khris Middleton,MIL,SF,25,30.7,5.2,11.5,0.45,1.6,3.6,0.43,3.6,7.9,0.46,2.8,3.2,0.88,0.4,3.4,14.7,15.2,16
Evan Fournier,ORL,SG,24,32.9,6,13.7,0.44,1.9,5.3,0.36,4.1,8.4,0.49,3.3,4.1,0.81,0.6,3,17.2,17,21
Marquese Chriss,PHX,PF,19,21.3,3.5,7.7,0.45,0.9,2.7,0.32,2.6,5,0.52,1.4,2.2,0.62,1.2,0.7,9.2,2.94,0
Jarrett Jack,NO,PG,33,16.5,1,1.5,0.67,0,0.5,0,1,1,1,1,1,1,0,2.5,3,0.06,11.5
Taj Gibson,CHI/OKC,PF,31,25.5,4.7,9.1,0.52,0,0.2,0.23,4.6,8.9,0.52,1.4,2,0.72,2,0.9,10.8,8.95,52
Kentavious Caldwell-Pope,DET,SG,23,33.3,4.9,12.2,0.4,2,5.8,0.35,2.9,6.5,0.44,2,2.4,0.83,0.7,2.5,13.8,3.68,9
Noah Vonleh,POR,PF,21,17.1,1.8,3.6,0.48,0.1,0.3,0.35,1.7,3.4,0.49,0.8,1.3,0.64,1.8,0.4,4.4,2.75,23.5
Jonas Jerebko,BOS,PF,29,15.8,1.5,3.4,0.44,0.6,1.7,0.35,0.9,1.7,0.52,0.3,0.5,0.7,0.8,0.9,3.8,5,7
Dwight Powell,DAL,C,25,17.3,2.5,4.9,0.52,0.3,1,0.28,2.2,3.9,0.57,1.4,1.8,0.76,1.2,0.6,6.7,8.38,0
Terry Rozier,BOS,PG,22,17.1,2,5.6,0.37,0.8,2.4,0.32,1.3,3.1,0.41,0.7,0.9,0.77,0.5,1.8,5.5,1.91,2
Maurice Harkless,POR,SF,23,28.9,4.1,8.1,0.5,0.9,2.5,0.35,3.2,5.6,0.57,1,1.6,0.62,1.6,1.1,10,8.99,0
Wayne Ellington,MIA,SG,29,24.2,3.7,9,0.42,2.4,6.4,0.38,1.3,2.6,0.51,0.6,0.7,0.86,0.3,1.1,10.5,6,18
Delon Wright,TOR,PG,24,16.5,1.8,4.3,0.42,0.4,1.1,0.33,1.4,3.2,0.45,1.6,2,0.76,0.6,2.1,5.6,1.58,11.5
